letter	frequency	error
A	.08167	.01
B	.01492	.01
C	.02782	.01
D	.04253	.01
E	.12702	.01
F	.02288	.01
G	.02015	.01
H	.06094	.01
I	.06966	.01
J	.00153	.01
K	.00772	.01
L	.04025	.01
M	.02406	.01
N	.06749	.01
O	.07507	.01
P	.01929	.01
Q	.00095	.01
R	.05987	.01
S	.06327	.01
T	.09056	.01
U	.02758	.01
V	.00978	.01
W	.02360	.01
X	.00150	.01
Y	.01974	.01
Z	.00074	.01
